Start,Open
2024-05-19,261094800000000000
2024-05-20,250897700000000000
2024-05-21,269191500000000000
2024-05-22,265269300000000000
2024-05-23,283559800000000000
2024-05-24,283917599999999970
2024-05-25,292239400000000000
2024-05-26,300683000000000000
2024-05-27,294576500000000000
2024-05-28,296768000000000000
2024-05-29,292181400000000000
2024-05-30,294839700000000000
2024-05-31,302827800000000000
2024-06-01,298063300000000000
2024-06-02,312367500000000000
2024-06-03,318585100000000000
2024-06-04,315325300000000000
2024-06-05,318950900000000000
2024-06-06,309616300000000000
2024-06-07,316352100000000000
2024-06-08,330920200000000000
2024-06-09,320066500000000000
2024-06-10,319927600000000000
2024-06-11,333427500000000000
2024-06-12,323924000000000000
2024-06-13,316582000000000000
2024-06-14,332924100000000000
2024-06-15,328803500000000000
2024-06-16,344759800000000000
2024-06-17,354453800000000000
2024-06-18,339806600000000000
2024-06-19,346269100000000000
2024-06-20,351718000000000000
2024-06-21,350480100000000000
2024-06-22,348168200000000000
2024-06-23,343086200000000000
2024-06-24,337970800000000000
2024-06-25,364454900000000000
2024-06-26,337345900000000000
2024-06-27,350421400000000000
2024-06-28,353555900000000000
2024-06-29,357980800000000000
2024-06-30,350578300000000000
2024-07-01,367315700000000000
2024-07-02,355982800000000000
2024-07-03,364287300000000000
2024-07-04,362233100000000000
2024-07-05,372221600000000000
2024-07-06,379561600000000000
2024-07-07,376646800000000000
2024-07-08,382590700000000000
2024-07-09,390443700000000000
2024-07-10,388363500000000000
2024-07-11,375243400000000000
2024-07-12,394915800000000000
2024-07-13,411726400000000000
2024-07-14,407136600000000000
2024-07-15,414401600000000000
2024-07-16,391588400000000000
2024-07-17,420742400000000000
2024-07-18,438317500000000000
2024-07-19,452468900000000000
2024-07-20,468412000000000000
2024-07-21,496416000000000000
2024-07-22,509791300000000000
2024-07-23,521997300000000000
2024-07-24,542369000000000000
2024-07-25,542651400000000000
2024-07-26,536545900000000000
2024-07-27,590955700000000000
2024-07-28,558234100000000000
2024-07-29,551664500000000000
2024-07-30,569167400000000000
2024-07-31,574720000000000000
2024-08-01,623860600000000000
2024-08-02,601049300000000000
2024-08-03,603621500000000000
2024-08-04,654268800000000000
2024-08-05,682821100000000000
2024-08-06,733520300000000000
2024-08-07,723660200000000000
2024-08-08,700622700000000000
2024-08-09,744110500000000000
2024-08-10,758034200000000000
2024-08-11,766915600000000000
2024-08-12,781119300000000000
2024-08-13,787743200000000000
2024-08-14,775610200000000000
2024-08-15,808322200000000000
2024-08-16,842802400000000000
2024-08-17,820581000000000000
2024-08-18,806111200000000000
2024-08-19,798290200000000000
2024-08-20,798283300000000000
2024-08-21,829870200000000000
2024-08-22,874238500000000000
2024-08-23,866730300000000000
2024-08-24,887915200000000000
2024-08-25,885159300000000000
2024-08-26,911470200000000000
2024-08-27,883936100000000000
2024-08-28,884022100000000000
2024-08-29,870929400000000000
2024-08-30,934561100000000000
2024-08-31,985393300000000000
2024-09-01,936443300000000000
2024-09-02,957700800000000000
2024-09-03,1012341300000000000
2024-09-04,1044695500000000000
2024-09-05,1081123000000000000
2024-09-06,1058748700000000000
2024-09-07,1064765100000000100
2024-09-08,1058512300000000000
2024-09-09,1089079200000000000
2024-09-10,1056060100000000100
2024-09-11,1061596399999999900
2024-09-12,1087696600000000100
2024-09-13,937345800000000000
2024-09-14,1071526200000000000
2024-09-15,1052083300000000000
2024-09-16,1122836800000000000
2024-09-17,1113063200000000000
2024-09-18,1085382200000000000
2024-09-19,948397300000000000
2024-09-20,1047677700000000000
2024-09-21,944459300000000000
2024-09-22,1083988600000000100
2024-09-23,1019065700000000000
2024-09-24,1084511700000000000
2024-09-25,1076571100000000100
2024-09-26,1103228800000000000
2024-09-27,1130386600000000100
2024-09-28,1070525100000000100
2024-09-29,1098514200000000000
2024-09-30,1081849600000000100
2024-10-01,1093880200000000000
2024-10-02,1144200700000000000
2024-10-03,1105483500000000000
2024-10-04,1129134399999999900
2024-10-05,1112335100000000100
2024-10-06,1127679899999999900
2024-10-07,1140670399999999900
2024-10-08,1065438899999999900
2024-10-09,1189981300000000000
2024-10-10,1182657800000000000
2024-10-11,1172682900000000000
2024-10-12,1154898500000000000
2024-10-13,1104393800000000000
2024-10-14,1095197300000000000
2024-10-15,1105509800000000000
2024-10-16,1132524600000000100
2024-10-17,1171582800000000000
2024-10-18,1198584400000000000
2024-10-19,1156096800000000000
2024-10-20,1206146900000000000
